Proband;Condition;Correct Places;Wrong Places ;Start;End
1;EigeneAnwendung - Erlangen - A;2;0;1:35;6:02
1;OSM - Erlangen - B;4;0;07:58;15:42
1;OSM - Ingolstadt - A;1;0;17:25;23:02
1;OSM - Ingolstadt - B;2;0;23:30;25:07
1;OSM - Erlangen - A;1;0;29:10;35:52
1;EigeneAnwendung - Ingolstadt - B;5;0;37:02;41:39
1;EigeneAnwendung - Erlangen - B;6;0;42:25;47:34
1;EigeneAnwendung - Ingolstadt - A;1;0;48:10;51:19
2;OSM - Erlangen - B;2;0;01:38;05:14
2;OSM - Ingolstadt - B;1;0;06:55;07:41
2;EigeneAnwendung - Erlangen - A;2;0;08:44;10:48
2;EigeneAnwendung - Ingolstadt - B;7;0;11:50;13:16
2;OSM - Ingolstadt - A;1;0;17:51;19:43
2;EigeneAnwendung - Ingolstadt - A;1;0;20:44;21:48
2;OSM - Erlangen - A;1;0;22:30;24:55
2;EigeneAnwendung - Erlangen - B;9;0;25:43;27:02
3;OSM - Ingolstadt - B;2;0;02:10;05:54
3;EigeneAnwendung - Ingolstadt - B;3;0;06:43;10:22
3;OSM - Erlangen - B;2;0;11:45;14:20
3;EigeneAnwendung - Ingolstadt - A;1;0;15:18;18:35
3;EigeneAnwendung - Erlangen - A;1;0;22:08;23:36
3;EigeneAnwendung - Erlangen - B;3;0;24:15;27:04
3;OSM - Ingolstadt - A;1;1;28:24;32:09
3;OSM - Erlangen - A;2;0;32:43;34:19
4;EigeneAnwendung - Ingolstadt - B;7;1;1:46;3:32
4;EigeneAnwendung - Ingolstadt - A;1;1;4:21;5:35
4;OSM - Ingolstadt - B;3;0;6:39;10:37
4;EigeneAnwendung - Erlangen - B;3;0;11:55;13:46
4;OSM - Erlangen - B;3;0;18:01;20:12
4;OSM - Erlangen - A;1;1;20:36;24:58
4;EigeneAnwendung - Erlangen - A;1;1;25:37;27:04
4;OSM - Ingolstadt - A;1;0;27:40;31:32
5;EigeneAnwendung - Ingolstadt - A;1;0;2:44;10:53
5;EigeneAnwendung - Erlangen - B;11;0;13:08;30:37
5;EigeneAnwendung - Ingolstadt - B;4;0;31:33;35:19
5;OSM - Erlangen - A;2;0;36:00;50:09
5;OSM - Ingolstadt - B;3;0;53:37;65:34
5;OSM - Ingolstadt - A;1;0;66:15;78:19
5;OSM - Erlangen - B;3;0;78:49;90:20
5;EigeneAnwendung - Erlangen - A;2;0;91:24;94:35
6;EigeneAnwendung - Erlangen - B;7;0;2:04;13:37
6;OSM - Erlangen - A;2;0;15:31;19:03
6;EigeneAnwendung - Ingolstadt - A;2;0;20:40;28:48
6;OSM - Ingolstadt - A;2;0;29:37;32:19
