Proband;Besser zurechtgekommen;Zufriedenheit;Intuitivität;Nutzung im Alltag
1;Haus am See;Haus am See;Haus am See;Haus am See
2;Haus am See;Haus am See;Haus am See;Haus am See
3;OSM;OSM;OSM;OSM
4;Haus am See;Haus am See;gleich;Haus am See
5;Haus am See;Haus am See;OSM;Haus am See
6;OSM;Haus am See;OSM;OSM
7;Haus am See;Haus am See;OSM;OSM
8;Haus am See;Haus am See;Haus am See;Haus am See
9;Haus am See;Haus am See;Haus am See;Haus am See
10;Haus am See;Haus am See;Haus am See;Haus am See
11;Haus am See;Haus am See;OSM;OSM
12;Haus am See;OSM;Haus am See;Haus am See
13;Haus am See;Haus am See;Haus am See;Haus am See
14;Haus am See;Haus am See;Haus am See;Haus am See
15;Haus am See;Haus am See;OSM;OSM
16;Haus am See;Haus am See;OSM;Haus am See
