Zeitstempel,Hast du bereits Erfahrung mit der Verwendung von OpenStreetMap? ,Warst du schon einmal in Erlangen?,Wie gut kennst du dich in Erlangen aus?,Warst du schon einmal in Ingolstadt?,Wie gut kennst du dich in Ingolstadt aus?,Welches Betriebssystem verwendest du?,"Nenne bitte die folgenden Eigenschaften deines Geräts: CPU, Grafikkarte und RAM (Arbeitsspeicher)",Geschlecht,Alter,Studienfach
09.11.2020 08:10:58,"Sehr wenig, ich habe es nur einmal ausprobiert",Ja,3,Nein,1,Windows,"3gb ddr4, Intel Xeon E-2186 @ 2.90Ghz, Nvidia Quadro P2000",Männlich,24,Medieninformatik
09.11.2020 11:13:36,"Nein, überhaupt nicht",Ja,1,Ja,5,Windows,...,Männlich,23,"Medieninformatik, Medienwissenschaft"
09.11.2020 16:06:10,"Nein, überhaupt nicht",Ja,1,Ja,1,Windows,Grafik: Vanilla Nvidia GeForce GTX 970 / CPU: Intel(R) Core i7-4790 @ 3.6GHz / RAM: 16GB,Männlich,25,Medieninformatik
09.11.2020 18:04:32,"Nein, überhaupt nicht",Nein,1,Ja,1,Windows,"AMD Ryzen 5 3600, AMD RX 580, 16GB RAM",Männlich,19,Medieninformatik
10.11.2020 09:24:08,"Nein, überhaupt nicht",Nein,1,Ja,5,Windows,"AMD A8-7410 APU with AMD Radeon R5 Graphics (4CPUs), 8192MB RAM",Weiblich,18,B.A Angewandte Bewegungswissenschaften
10.11.2020 11:03:13,"Sehr wenig, ich habe es nur einmal ausprobiert",Ja,1,Ja,1,Mac OS,Intel Iris Plus Graphics 655 1536 MB,Weiblich,26,Medieninformatik M.Sc
10.11.2020 13:03:30,"Nein, überhaupt nicht",Nein,1,Nein,1,Windows,"AMD Ryzen 3700x, Nvidia GTX 1050ti, 16GB",Männlich,22,Medieninformatik
10.11.2020 15:05:55,"Ein bisschen, ich verwende OpenStreetMap gelegentlich",Ja,5,Nein,3,Windows,"Intel Core i5-3570K, AMD Radeon RX 580, 16 GB DDR3",Männlich,28,Informationswissenschaft
10.11.2020 19:05:11,"Nein, überhaupt nicht",Nein,1,Nein,1,Mac OS,"CPU: 3,1 GHz Dual-Core Intel Core i5
Grafikkarte: Intel Iris Plus Graphics 650 1536 MB
RAM: 8 GB 2133 MHz LPDDR3",Männlich,31,Medieninformatik
11.11.2020 08:16:47,"Nein, überhaupt nicht",Nein,1,Nein,1,Windows,"Intel(R) Core(TM) i5-6600, Radeon (TM) RX 480 Graphics, 8GB, 4GB (VRAM)",Weiblich,21,Angewandte Bewegungswissenschaft (B.A.) + Medieninformatik (2.HF)
11.11.2020 09:34:22,"Ein bisschen, ich verwende OpenStreetMap gelegentlich",Ja,3,Ja,2,Mac OS,"Intel Core i5-1030NG7, Intel Iris Plus G7, 16 GB DDR4",Männlich,24,Medieninformatik / Wirtschaftsinformatik
11.11.2020 12:03:35,"Ja, ich verwende OpenStreetMap sehr oft",Ja,3,Nein,1,Mac OS,"2,3Gh Quad Core i5, Intel Iris Plus Graphics 655 1536 MB, 8GB",Männlich,22,Medieninformatik
12.11.2020 16:01:24,"Sehr wenig, ich habe es nur einmal ausprobiert",Nein,1,Ja,3,Windows,"Intel i5 4460, Nvidia GTX 1060, 16GB",Männlich,25,Medieninformatik
13.11.2020 16:08:51,"Nein, überhaupt nicht",Ja,3,Nein,1,Windows,"i7-8550U (1,80 GHz), Nvidia GTX 1050, 8GB RAM",Männlich,23,"Medieninformatik B.A. (NF Politikwissenschaft, NF Geschichte)"
13.11.2020 18:26:00,"Ja, ich verwende OpenStreetMap sehr oft",Nein,1,Nein,1,Linux,"Intel Core i5-8250U (8 Kerne), In CPU integrierte Graphik, 8GB RAM",Männlich,21,Medieninformatik
14.11.2020 10:03:03,"Sehr wenig, ich habe es nur einmal ausprobiert",Ja,2,Nein,1,Windows,i5-8400; 24GB RAM; Radeon RX570,Männlich,23,Medieninforamtik & Politikwissenschaft BA
14.11.2020 15:08:32,"Ein bisschen, ich verwende OpenStreetMap gelegentlich",Nein,1,Nein,1,Windows,"AMD Ryzen 9 3900X 12-Core Processor 3.79 GHz, GeForce RTX 2070 SUPPER 8 GB, RAM: 32GB",Männlich,22,Medieninformatik und Informationswissenschaft
16.11.2020 10:05:03,"Nein, überhaupt nicht",Nein,1,Ja,3,Windows,"1892 Ram, Intel UHD Graphics 620",Weiblich,20,Medieninformatik / Musikwissenschaft
16.11.2020 11:08:37,"Nein, überhaupt nicht",Nein,1,Ja,1,Mac OS,"2,5 GHz Quad-Core Intel Core i7, Intel Iris Pro 1536 MB, 16 GB",Weiblich,20,Medieninformatik
16.11.2020 16:02:41,"Nein, überhaupt nicht",Nein,1,Ja,2,Windows,"i5-8600 6-Kern 3,1GHz
NVIDIA GeForce GTX 1080
16GB RAM",Männlich,20,Medieninformatik
