Proband;Condition;Correct Places;Wrong Places ;Start;End
1;EigeneAnwendung - Erlangen - A;2;0;1:35;6:02
1;OSM - Erlangen - B;3;0;07:58;15:42
1;OSM - Ingolstadt - A;1;0;17:25;23:02
1;OSM - Ingolstadt - B;2;0;23:30;25:07
1;OSM - Erlangen - A;1;0;29:10;35:52
1;EigeneAnwendung - Ingolstadt - B;4;0;37:02;41:39
1;EigeneAnwendung - Erlangen - B;5;0;42:25;47:34
1;EigeneAnwendung - Ingolstadt - A;1;0;48:10;51:19
2;OSM - Erlangen - B;2;0;1:38;5:14
2;OSM - Ingolstadt - B;1;0;6:55;7:41
2;EigeneAnwendung - Erlangen - A;2;0;8:44;10:48
2;EigeneAnwendung - Ingolstadt - B;6;0;11:50;13:16
2;OSM - Ingolstadt - A;1;0;17:51;19:43
2;EigeneAnwendung - Ingolstadt - A;1;0;20:44;21:48
2;OSM - Erlangen - A;1;0;22:30;24:55
2;EigeneAnwendung - Erlangen - B;8;0;25:43;27:02
